ID_producto,Descripcion,IMEI,TALLA
52d997d4,Capucha Polera Morado,1502MO,XS
20b239a5,Capucha Polera Morado,1502MO,XS
4b301d88,Guindo con Negro,1502GN,XS
f257de67,Guindo con Negro,1502GN,XS
887fb637,Guindo con Negro,1502GN,XS
9b16b10d,Guindo con Negro,1502GN,XS
a590ac8a,Guindo con Negro,1502GN,XS
2dda68c8,Guindo con Negro,1502GN,XS
4709b85f,CAPUCHA CAMELL,1502CM,XS
1a9db229,Polera Uva,1501UV,S
8514a987,POLERA SCORPION MORADO,1501MO,XS
0760ed6f,Polera Guindo/Negro,1501GN,XS
eb05438e,Vestido April Negro con Rojo,0140NR,S
110f16c7,Capucha Polera Morado,1502MO,M
2a912645,Polera Guindo/Negro,1501GN,M
04c49978,Polera Guindo/Negro,1501GN,S
16c5e929,Pantalón Negro,1300NE,M
7891c07f,POLO NEGRO,1201NE,S
c83257e3,POLO NEGRO,1201NE,S
bfc74071,POLO NEGRO,1201NE,S
b0b15ace,POLO NEGRO,1201NE,S
40db42cf,POLO AMARILLO,1201MZ,S
,,,
,,,
34f9d7a7,POLO-BUZO SHORT NEGRO,1004NE/1201NE,S
f70d184b,POLO-BUZO SHORT NEGRO,1004NE/1201NE,S
ae8b9ded,KIT POLO-BUZO SHORT ROSA,1201PR/1004PR,M
5d53c067,KIT POLO-BUSO AZUL OSCURO,1300AZ/1201AM,S
3b4ca4a7,KIT POLO-BUSO AZUL OSCURO,1300AZ/1201AM,S
b0d4d7d7,KIT POLO-BUZO PANTALON GRIS,1201NE/1300GR,L
3a7bcf9d,PANTALON PLOMO,1301PL,L
0c1f5eaf,PANTALON PLOMO,1301PL,M
fcc0bf20,PANTALON PLOMO,1301PL,M
73fb0733,PANTALON PLOMO,1301PL,M
fe359517,CAMISA AZUL Y AMARILLO,0150INK,M
224901cc,KIT POLERA Y SHORT AZUL,1800INK,M
fbb16fb9,ENTERIZO AZUL AMARILLO,0405INK,M
37aff512,ENTERIZO AZUL AMARILLO,0405INK,L
f5bdbf7e,ENTERIZO AZUL AMARILLO,0405INK,L
444f35de,ENTERIZO AZUL AMARILLO,0405INK,L
8fc96ff6,ENTERIZO AZUL AMARILLO,0405INK,L
7e1660ef,ENTERIZO AZUL AMARILLO,0405INK,L
969af71f,ENTERIZO AZUL AMARILLO,0405INK,L
c9bbfff5,POLO AZUL MARINO,1201AM,S
ac8f7187,PANTALON AZUL MARINO CON PUÑOS,1301AM,L
58d3f448,BUZO PALO ROSA CON PUÑOS,1301PR,M
60efe30e,BUZO PALO ROSA CON PUÑOS,1301PR,M
4eb5d5ba,BUZO PALO ROSA CON PUÑOS,1301PR,L
ee6fcea1,PANTALON GUINDO,1300GU,M
fa41a8a6,PANTALON GUINDO,1300GU,M
91a05e52,PANTALON GUINDO,1300GU,M
94d8952d,PANTALON AZUL,1300AZ,M
bc015cf6,PANTALON AZUL,1300AZ,M
080d0627,PANTALON AZUL,1300AZ,M
a70b5a98,Pantalón Negro,1300NE,XL
23ed8d16,Pantalón Negro,1300NE,XL
42012c02,Pantalón Negro,1300NE,XL
d611bf8a,Pantalón Negro,1300NE,XL
ca24b3aa,BLUSA C/ESTAMPADO ROJO BLANCO,0800RO,M
999c69d6,BLUSA C/ESTAMPADO ROJO BLANCO,0800RO,M
098a4d33,BLUSA C/ESTAMPADO ROJO BLANCO,0800RO,M
be84ae4b,BLUSA C/ESTAMPADO ROJO BLANCO,0800RO,M
46fb069e,BLUSA C/ESTAMPADO ROJO BLANCO,0800RO,M
b745504c,BLUSA C/ESTAMPADO ROJO BLANCO,0800RO,S
ead70431,BLUSA C/ESTAMPADO ROJO BLANCO,0800RO,S
d7339821,BLUSA C/ESTAMPADO ROJO BLANCO,0800RO,S
90507211,SHORT CASUAL COLOR AZUL,1000AZ,M
eaab76d9,SHORT CASUAL COLOR MORADO,0100MO,M
1b45a4b9,FALDA NEGRA ESTAMPADO ROJO/BLANCO,0301RO,M
b8916c84,BLUSA DE GASA COLOR ROJO,0204RO,M
715e538f,BLUSA DE GASA COLOR ROJO,0204RO,M
ee0b058a,FALDA NEGRA ESTAMPADO ROJO/BLANCO,0301RO,L
43dd1a54,FALDA CASUAL COLOR PLOMO,0311PL,S
e2cb0e49,PANTALON SASTRE COLOR PLOMO,0503PL,Talla_32
0431fd06,FALDA CASUAL COLOR PLOMO,0311PL,S
f3781ec9,FALDA CASUAL COLOR PLOMO,0311PL,S
bf2e734b,FALDA CASUAL COLOR PLOMO,0311PL,M
a38bd5f7,BLUSA MANGA CERO COLOR BLANCO,0213BL,L
b85191f8,BLUSA DE GASA BLANCO/BEIGE/ROJO,0202XX,L
344f145f,PANTALON LINO LICRADO AZULINO,0501AZ,Talla_30
2c796c23,BLUSA MANGA CERO CASUAL COLOR BLANCO/NEGRO/BEIGE,0216APB,M
6e5f7a99,FALDA DENIN BLANCO,0313CL,M
a4a6b1eb,BLUSA CASUAL DE GASA COLOR NEGRO,0218NE,S
968d6e06,SHORT DENIN CASUAL COLOR ROJO,1002RO,Talla_34
3225d33e,FALDA NEGRA DEPORTIVA,0307NE,S
28ef9bf5,FALDA NEGRA DEPORTIVA,0307NE,S
a57ce71c,FALDA NEGRA/LIA DEPORTIVA NAYLON,0305NE,S
143bde22,FALDA NEGRA/LIA DEPORTIVA NAYLON,0305NE,S
b2905d18,FALDA NEGRA/LIA DEPORTIVA NAYLON,0305NE,S
d63f5ea2,FALDA NEGRA/LIA DEPORTIVA NAYLON,0305NE,S
938ecdbf,FALDA NEGRA/LIA DEPORTIVA NAYLON,0305NE,S
e9d14918,FALDA NEGRA/LIA DEPORTIVA NAYLON,0305NE,S
e9398b24,BLUSA STANDAR BLANCO C/ APLICATIVOS DORADOS,0209BL,S
fc4aacc0,BLUSA STANDAR BLANCO C/ APLICATIVOS DORADOS,0209BL,S
ae04aacc,BLUSA STANDAR BLANCO C/ APLICATIVOS DORADOS,0209BL,S
5abbaf5e,BLUSA STANDAR BLANCO C/ APLICATIVOS DORADOS,0209BL,S
a0b3b60e,FALDA CASUAL COLOR PLOMO,0311PL,L
7c268937,FALDA CASUAL COLOR PLOMO,0311PL,S
3dc63c31,FALDA CASUAL COLOR PLOMO,0311PL,L
cfaff00c,PANTALON SASTRE COLOR PLOMO,0503PL,Talla_28
5240be2b,BLUSA STANDAR BLANCO C/ APLICATIVOS DORADOS,0209BL,S
9c844c91,BLUSA STANDAR BLANCO C/ APLICATIVOS DORADOS,0209BL,S
7ef2e227,BLUSA STANDAR BLANCO C/ APLICATIVOS DORADOS,0209BL,S
7c990994,BLUSA STANDAR BLANCO C/ APLICATIVOS DORADOS,0209BL,S
374f46c7,BLUSA STANDAR BLANCO C/ APLICATIVOS DORADOS,0209BL,S
4b181966,BLUSA STANDAR BLANCO C/ APLICATIVOS DORADOS,0209BL,S
de812c90,BLUSA STANDAR BLANCO C/ APLICATIVOS DORADOS,0209BL,S
d520a884,PANTALON LINO LICRADO AZULINO,0501AZ,Talla_32
00251ba6,PANTALON LINO LICRADO AZULINO,0501AZ,Talla_34
86d404d5,PANTALON LINO LICRADO AZULINO,0501AZ,Talla_28
3745ce58,PANTALON LINO LICRADO AZULINO,0501AZ,Talla_30
9ce99c7d,PANTALON LINO LICRADO AZULINO,0501AZ,Talla_30
83a5d551,PANTALON LINO LICRADO AZULINO,0501AZ,Talla_34
a8701eb9,PANTALON LINO LICRADO AZULINO,0501AZ,Talla_28
cb6a2c90,PANTALON VERDE DRILL,0502VM,Talla_26
55963e6b,PANTALON VERDE DRILL,0502VM,Talla_26
307e7c17,PANTALON VERDE DRILL,0502VM,Talla_30
f1782c18,PANTALON VERDE DRILL,0502VM,Talla_34
e6affabc,PANTALON VERDE DRILL,0502VM,Talla_34
eaab6a17,PANTALON VERDE DRILL,0502VM,Talla_34
1c647181,BLUSA NEGRA EMI,0208NE,M
cce54006,BLUSA NEGRA EMI,0208NE,S
fb5e6e71,BLUSA NEGRA EMI,0208NE,S
aeac1cf6,BLUSA NEGRA EMI,0208NE,S
4f6e08b3,PANTALON VERDE DRILL,0502VM,Talla_26
f6155dc2,PANTALON SASTRE COLOR PLOMO,0503PL,Talla_28
85466c94,PANTALON SASTRE COLOR PLOMO,0503PL,Talla_26
abb81167,PANTALON SASTRE COLOR PLOMO,0503PL,Talla_26
42e237eb,BLUSA NEGRA EMI,0208NE,S
1c09e3fc,BLUSA NEGRA EMI,0208NE,S
0c90f29e,BLUSA NEGRA EMI,0208NE,S
eec66eac,BLUSA NEGRA EMI,0208NE,S
7a904dc5,BLUSA EJECUTIVA AZUL MANGA3/4,0207AM,M
6b78a6a8,BLUSA EJECUTIVA AZUL MANGA3/4,0207AM,M
2f087cab,BLUSA EJECUTIVA AZUL MANGA3/4,0207AM,M
4e00b07f,BLUSA EJECUTIVA AZUL MANGA3/4,0207AM,M
e47dd757,BLUSA EJECUTIVA AZUL MANGA3/4,0207AM,M
1261f357,BLUSA EJECUTIVA AZUL MANGA3/4,0207AM,M
c2ed9483,BLUSA EJECUTIVA AZUL MANGA3/4,0207AM,M
21044a1b,BLUSA EJECUTIVA AZUL MANGA3/4,0207AM,L
2c814c8a,BLUSA EJECUTIVA AZUL MANGA3/4,0207AM,L
c805caf1,BLUSA EJECUTIVA AZUL MANGA3/4,0207AM,L
4bc69803,BLUSA EJECUTIVA AZUL MANGA3/4,0207AM,L
a7399062,BLUSA EJECUTIVA AZUL MANGA3/4,0207AM,L
5377c95c,BLUSA EJECUTIVA AZUL MANGA3/4,0207AM,L
ad7a1c38,BLUSA EJECUTIVA AZUL MANGA3/4,0207AM,L
b7c0d56a,BLUSA EJECUTIVA AZUL MANGA3/4,0207AM,L
cca52e33,BLUSA EJECUTIVA AZUL MANGA3/4,0207AM,L
07ac7bf7,BLUSA EJECUTIVA AZUL MANGA3/4,0207AM,L
0d033e99,BLUSA EJECUTIVA AZUL MANGA3/4,0207AM,S
c09a0bfd,BLUSA EJECUTIVA AZUL MANGA3/4,0207AM,S
f126cbb8,BLUSA EJECUTIVA AZUL MANGA3/4,0207AM,S
d611e315,BLUSA EJECUTIVA AZUL MANGA3/4,0207AM,S
225000c9,BLUSA EJECUTIVA AZUL MANGA3/4,0207AM,S
a0ba7482,BLUSA EJECUTIVA AZUL MANGA3/4,0207AM,S
687b3fec,BLUSA EJECUTIVA AZUL MANGA3/4,0207AM,S
e4bf208b,BLUSA EJECUTIVA AZUL MANGA3/4,0207AM,S
7a804f88,PANTALON SASTRE COLOR PLOMO,0503PL,Talla_30
c7d6fe65,PANTALON DENIN BLANCO,0500BL,Talla_34
d408bad2,PANTALON DENIN BLANCO,0500BL,Talla_34
e7014d49,PANTALON DENIN BLANCO,0500BL,Talla_34
c26dbb88,PANTALON DENIN BLANCO,0500BL,Talla_34
7d60fc4c,PANTALON DENIN BLANCO,0500BL,Talla_32
,,,
2939cd88,PANTALON DENIN BLANCO,0500BL,Talla_28
077f2f00,PANTALON DENIN BLANCO,0500BL,Talla_34
23936fc1,PANTALON DENIN BLANCO,0500BL,Talla_28
7b5932d2,TOP DENIN OSCURO,0804OS,S
cc52892b,TOP DENIN OSCURO,0804OS,M
74c19b7e,FALDA DENIN BLANCO,0313CL,S
1da53614,FALDA DENIN BLANCO,0313CL,S
6a17ade5,FALDA DENIN BLANCO,0313CL,M
0b3807d6,FALDA DENIN BLANCO,0313CL,L
bd35972c,FALDA DENIN BLANCO,0313CL,L
8ccaecdb,TOP DENIN OSCURO,0804OS,S
b40d6263,TOP DENIN OSCURO,0804OS,S
ae6e4ce3,FALDA DENIN OSCURO,0313OS,S
5a0f2cb4,FALDA DENIN OSCURO,0313OS,S
d4310177,FALDA DENIN INTERMEDIO,0313IN,S
a6c20999,FALDA DENIN INTERMEDIO,0313IN,S
881cbaea,FALDA DENIN INTERMEDIO,0313IN,L
39ee5419,FALDA DENIN INTERMEDIO,0313IN,L
704b6fe3,Top con falda Intermedio,0804IN,L
89badbe7,Top con falda Intermedio,0804IN,L
0bcef6ac,Top con falda Intermedio,0804IN,S
174345ed,Top con falda Intermedio,0804IN,S
70c1d502,ABRIGO,0600MA,L
9f480152,ABRIGO,0600MA,M
f823320d,ABRIGO,0600MA,M
e0f1c02b,ABRIGO,0600MA,S
773cc0db,BLUSA BLANCO CON NEGRO,0211BN,M
4ea61016,FALDA NEGRA DENIN ENTUBADA C/PRETINA,0312NE,XL
f956a492,ABRIGO,1100TI,S
a7a0fa4f,ABRIGO,1100TI,M
7b3f7bd5,ABRIGO,1100TI,M
88cfa08a,PANTALON SASTRE COLOR PLOMO,0503PL,Talla_32
ee9e82c0,PANTALON SASTRE COLOR PLOMO,0503PL,Talla_32
1342f7b4,TOP DENIN CLARO,0804CL,S
433f73e3,TOP DENIN CLARO,0804CL,S
2168f492,TOP DENIN CLARO,0804CL,L
ee430059,TOP DENIN CLARO,0804CL,L
8d5bcd93,TOP DENIN CLARO,0804CL,M
35beec53,BLUSA BLANCA,0001BL,S
be6dcb1c,BLUSA BLANCA,0001BL,S
7227909c,BLUSA BLANCA,0001BL,S
66050d1a,BLANCO CON NEGRO,0001BCN,M
4dee6fc3,ENTERIZO JEAN INTERMEDIO,0007IN,Talla_32
f91d5f50,Ropa de baño Lisa Negro,0801NE,S
e10d182e,Ropa de baño Lisa Negro,0801NE,S
264df968,Ropa de baño Lisa Negro,0801NE,M
c0d6ae38,Ropa de baño Lisa Negro,0801NE,M
6ffd3dcc,Ropa de baño Lisa Negro,0801NE,M
e5d5a917,Ropa de baño Lisa Negro,0801NE,L
17c6b7f9,Ropa de baño Lisa Negro,0801NE,L
,,,
e5d680e4,Ropa de Baño Lisa Turquesa,0801TU,S
668eb876,Ropa de Baño Lisa Turquesa,0801TU,M
f8f5a2ba,Ropa de Baño Lisa Turquesa,0801TU,M
5bdc11b1,Ropa de Baño Lisa Turquesa,0801TU,L
11c48b1a,Ropa de Baño Lisa Turquesa,0801TU,L
81abf4d0,Ropa de Baño Lisa Rojo,0801RO,M
5f716934,Ropa de Baño Lisa Rojo,0801RO,M
4a290821,Ropa de Baño Lisa Rojo,0801RO,L
e5778004,Ropa de Baño Lisa Rojo,0801RO,L
14984c57,Ropa de Baño Lisa Rojo,0801RO,M
3c5b68d9,Ropa de Baño Lisa Rojo,0801RO,S
1d896111,ROPA DE BAÑO VERDE,0802VE,S
7232a1e3,ROPA DE BAÑO VERDE,0802VE,S
69c2ed6a,ROPA DE BAÑO VERDE,0802VE,M
a33d58bf,ROPA DE BAÑO VERDE,0802VE,M
326bf8ca,ROPA DE BAÑO VERDE,0802VE,M
81595aa4,ROPA DE BAÑO VERDE,0802VE,M
28b57364,ROPA DE BAÑO VERDE,0802VE,L
5a12d562,ROPA DE BAÑO VERDE,0802VE,L
40945819,ROPA DE BAÑO NEGRO,0802NE,S
5cef960b,ROPA DE BAÑO NEGRO,0802NE,M
7b298368,ROPA DE BAÑO NEGRO,0802NE,M
dbb784d5,ROPA DE BAÑO NEGRO,0802NE,M
4b19f1a8,ROPA DE BAÑO NEGRO,0802NE,M
971b4150,ROPA DE BAÑO NEGRO,0802NE,M
31497f7c,ROPA DE BAÑO NEGRO,0802NE,L
92692f6d,ROPA DE BAÑO PALO DE ROSA,0802PR,S
6430d4fd,ROPA DE BAÑO PALO DE ROSA,0802PR,M
acd6203f,ROPA DE BAÑO PALO DE ROSA,0802PR,L
554b7a30,POLERA MORADO,1700MO,Talla_2
7c25d5d5,POLERA PLOMO,1600NE,Talla_10
4e491d0c,KIT POLERA PANTALON UVA,1600UVP,Talla_14
71cd2206,POLERA CELESTE,1700CN,Talla_3
9718873b,POLERA CELESTE,1700CN,Talla_3
24be36a1,POLERA CELESTE,1700CN,Talla_14
63f03f7f,POLERA GUINDO,1700GN,Talla_3
794765d0,POLERA GUINDO,1700GN,Talla_3
282cd689,POLERA GUINDO,1700GN,Talla_3
a3b0a5a0,POLERA GUINDO,1700GN,Talla_3
c09f8842,POLERA GUINDO,1700GN,Talla_3
cb01debc,POLERA GUINDO,1700GN,Talla_4
6aee4a04,POLERA GUINDO,1700GN,Talla_4
b74f4768,PANTALON NEGRO,1302NE,Talla_2
bd04e978,PANTALON NEGRO,1302NE,Talla_8
e288956d,PANTALON NEGRO,1302NE,Talla_8
831bb591,PANTALON NEGRO,1302NE,Talla_8
7e8e03a2,PANTALON NEGRO,1302NE,Talla_6
c8e75123,PANTALON NEGRO,1302NE,Talla_6
ddf3581e,PANTALON NEGRO,1302NE,Talla_6
1c32b0f2,PANTALON NEGRO,1302NE,Talla_3
7dfe5217,PANTALON NEGRO,1302NE,Talla_3
63cdd25a,PANTALON NEGRO,1302NE,Talla_3
ac030ffb,PANTALON NEGRO,1302NE,Talla_3
280aa1ee,PANTALON NEGRO,1302NE,Talla_3
da5f9382,PANTALON NEGRO,1302NE,Talla_3
e4f88990,PANTALON NEGRO,1302NE,Talla_3
dcd9e279,PANTALON NEGRO,1302NE,Talla_3
638caaee,PANTALON NEGRO,1302NE,Talla_3
3f439163,PANTALON NEGRO,1302NE,Talla_3
0efca8cb,PANTALON NEGRO,1302NE,Talla_3
78a41330,PANTALON NEGRO,1302NE,Talla_3
d5494749,PANTALON NEGRO,1302NE,Talla_4
914dafc7,PANTALON NEGRO,1302NE,Talla_4
77826ac0,PANTALON NEGRO,1302NE,Talla_4
2c6fecc4,PANTALON NEGRO,1302NE,Talla_4
409b01c9,PANTALON NEGRO,1302NE,Talla_4
d9aef89a,PANTALON NEGRO,1302NE,Talla_4
8588b6cf,PANTALON NEGRO,1302NE,Talla_4
ffeda7b5,PANTALON NEGRO,1302NE,Talla_4
4cd6cdcf,PANTALON NEGRO,1302NE,Talla_4
8dfc2761,PANTALON NEGRO,1302NE,Talla_14
dace0740,PANTALON NEGRO,1302NE,Talla_14
0094f39b,PANTALON NEGRO,1302NE,Talla_14
170c6889,PANTALON NEGRO,1302NE,Talla_14
f10dfa5d,PANTALON NEGRO,1302NE,Talla_14
6aab236d,PANTALON NEGRO,1302NE,Talla_14
d27638f5,PANTALON NEGRO,1302NE,Talla_14
ca9ac751,PANTALON NEGRO,1302NE,Talla_14
ccdbc92f,PANTALON NEGRO,1302NE,Talla_14
4de6826c,PANTALON NEGRO,1302NE,Talla_16
03f8be21,PANTALON NEGRO,1302NE,Talla_16
dbfdb2e9,PANTALON NEGRO,1302NE,Talla_16
45208ccc,PANTALON NEGRO,1302NE,Talla_16
e211a2cd,PANTALON NEGRO,1302NE,Talla_16
e00fbc0a,PANTALON NEGRO,1302NE,Talla_16
1cdece1c,POLERA MORADO,1700MO,Talla_6
31b63bd7,POLERA MORADO,1700MO,Talla_6
df1c4da1,POLERA MORADO,1700MO,Talla_6
74b2dd12,POLERA MORADO,1700MO,Talla_6
1ec85b28,POLERA MORADO,1700MO,Talla_3
433fad95,POLERA MORADO,1700MO,Talla_3
ccfbda74,POLERA MORADO,1700MO,Talla_3
717ce128,POLERA MORADO,1700MO,Talla_3
1a30fd3f,POLERA MORADO,1700MO,Talla_3
f5936b2e,POLERA MORADO,1700MO,Talla_4
54afb160,POLERA MORADO,1700MO,Talla_4
b007fdc3,POLERA MORADO,1700MO,Talla_4
0794491c,POLERA CELESTE,1700CN,Talla_4
4cbbfb5e,POLERA CELESTE,1700CN,Talla_4
2285c96f,POLERA CELESTE,1700CN,Talla_4
3df01eb0,POLERA CELESTE,1700CN,Talla_4
c070ee1c,POLERA CELESTE,1700CN,Talla_4
a58ade83,POLERA CELESTE,1700CN,Talla_4
700596be,POLERA MORADO,1700MO,Talla_14
e1fb4b36,POLERA GUINDO,1700GN,Talla_16
3b2d44c4,POLERA GUINDO,1700GN,Talla_16
3669d5ea,Pantalón Negro,1300NE,Talla_16
b3d7c6d7,Pantalón Negro,1300NE,Talla_16
40249488,Pantalón Negro,1300NE,Talla_16
2112f65f,Pantalón Negro,1300NE,Talla_16
ecef7555,VESTIDO NARANJA CON NEGRO,0050NNA,S
f20cf39d,VESTIDO LILIANA ROJO,0136ROO,S
9d3f2117,VESTIDO ROJO CON ROSADO,0050RRA,S
,,,
1983df7c,VESTIDO LETICIA JEAN OSCURO,0030OS,M
85fcc69e,VESTIDO ROSADO CON NEGRO,0141RN,S
b661a42e,"VESTIDO BLANCO,VERDE Y MARRON",0050BVM,S
dc8cbbbb,VESTIDO AMARILLO CON BLANCO,0346AB,S
0adcb04a,"VESTIDO MARRON,VERDE Y BLANCO",0141MVB,S
6ac8fa25,VESTIDO DENIN OSCURO,0090OS,S
c85558d5,VESTIDO APRIL CELESTE,0140CE,S
0b600dd6,FALDA AZUL CON BLANCO,060ACB,S
8b5b37a0,VESTIDO JEAN OSCURO,0049OS,S
937d66c2,VESTIDO ROJO CON BLANCO,0050RB,S
f99ff76c,BLUSA CASUAL BLANCO CON AMARILLO,0215BA,S
83f7e33c,VESTIDO LILIANA NEGRO,0136NE,M
d5d71bd9,VESTIDO NEGRO,0110NE,S
c75bfe58,VESTIDO NEGRO,0110NE,S
ddb4b4f1,VESTIDO NEGRO,0110NE,S
2f3cfdb9,VESTIDO NEGRO,0110NE,S
81fd84b0,VESTIDO NEGRO,0110NE,S
ed7c4e82,VESTIDO NEGRO,0110NE,S
6a2b5db5,VESTIDO NEGRO,0110NE,S
c15f67b3,VESTIDO NEGRO,0110NE,S
383a565a,VESTIDO NEGRO,0110NE,S
1276eef0,Polera Guindo/Negro,1501GN,Talla_16
e4670ddc,Polera Guindo/Negro,1501GN,Talla_16
b9cb9563,Ropa de baño Lisa Negro,0801NE,M
ee033c92,Vestido Leticia Intermedio,0106IN,S
ed6183ef,FALDA DENIN INTERMEDIO,0313IN,M
9ce51b67,BLUSA DE GASA COLOR ROJO,0204RO,M
c51429e0,Top con falda Intermedio,0804IN,S
efd737d3,FALDA CASUAL COLOR PLOMO,0311PL,M
81792253,FALDA CASUAL COLOR PLOMO,0311PL,L
5a64d300,VESTIDO DENIN OSCURO,0090OS,S
ac86e835,Polera Uva,1501UV,Talla_16
bea7f711,Polera Uva,1501UV,Talla_16
cc6322ba,Vestido Diana Intermedio,0148IN,S
,,,
876ac0f1,VESTIDO AZUL MARINO OSCURO,1424IO,S
551ccbc5,VESTIDO INTERMEDIO,1428IN,S
8b81c024,VESTIDO OSCURO CON MANGA CORTA,1431OS,M
a42ced3c,VESTIDO OSCURO,1430OS,S
2c34358f,VESTIDO OSCURO,1429OS,S
e5cea9c1,VESTIDO CKN MANGA CAFE,0123GU,S
3d0f9405,VESTIDO JEAN INTERMEDIO,1432IN,S
367d2b6a,VESTIDO JEAN INTERMEDIO,1432IN,M
bcdde5e2,VESTIDO JEAN OSCURO,1433OS,S
adb7cb92,VESTIDO JEAN INTERMEDIO,1435IN,S
037671bb,CHAQUETA JEAN OSCURO,1426OS,M
249f48e0,VESTIDO JEAN INTERMEDIO,1425IN,M
7c6c6316,FALDA JEAN OSCURO,0312OS,M
d3cefd4b,FALDA JEAN OSCURO,0312OS,M
1e1ecf09,VESTIDO JEAN OSCURO MANGA LARGA,1436OS,S
68a91a13,VESTIDO JEAN OSCURO,1427OS,S
2b929587,VESTIDO PLOMO,0313PL,S
fe06e7c9,VESTIDO PLOMO,0313PL,S
f51b45b6,VESTIDO PLOMO,0313PL,S
d4469f62,VESTIDO JEAN CELESTE,0134CL,S
90079823,"VESTIDO NEGRO,ROJO",0913NRV,S
ddd5104c,VESTIDO NEGRO CON MANGA CORTA,0706NE,S
f035bfbf,"ENTERIZO NEGRO, VERDE",0438NVG,XS
